HA/REW/MEDI04,Mediom Hospital,"Near Nagar Palika, Sohna Road, Dharuhera",,Dharuhera,13-Jan-23,
MA/SHA/DEEP01,Deepshikha Hospital,"31, Sectore-A, Vidhyanagar, Near Bu, Main",,Bhopal,13-Jan-23,
UT/KAN/RAJR01,Rajrani Hospital,"A, 33/1, Awas Vikas Colony, Hanspuram,",,Kanpur,13-Jan-23,
UT/MOR/SELE01,Select Hospital,Near Rto Office Mini Bypass Road,,Moradabad,13-Jan-23,
MA/GWA/G S 01,G S Hospital And Reserach,Opp Madhav Despensary Lashkar,,Gwalior,13-Jan-23,
OD/PUR/EMER01,Emergency 24 Hospital,Plot No 433 And 434 Tulai Road Dolamandap,,Puri,13-Jan-23,
KA/BAN/LAVE02,Lavender Lotus Multi-Specialty,"51,6Th, A Cross, Opp. Kenneth Geprge English",,Bangalore,13-Jan-23,
KA/BAN/SRI 32,Sri Krishna Hospital,"Hv Rangappa Building, Dodda Gollarahatti,",,Bangalore,13-Jan-23,
KA/BAN/VALE02,Valens Hospitals,"33-34, New Dwarka Nagar Extension Bagalur",,Bangalore,13-Jan-23,
MA/NAS/PRAB02,Prabhavati Accident And Critical,"Plot No.07, Opp Mahendra Gate, Shramik Nagar",,Nashik,13-Jan-23,
MA/AUR/MEDI03,Medi Health Hospital,"Opp.Sports Turf , Plot No 13,","Gut No 92,",Aurangabad,13-Jan-23,
TA/CHE/ANJA01,Anjakha Hospital,"No 23 Medavakkam Main Road, Madipakkam",,Chennai,13-Jan-23,
CH/RAJ/GUPT01,Gupta Hospital,Ratna Bandha Road,,Dhamtari,13-Jan-23,
MA/JAB/SWAS01,Swastik Multispeciality Hospital And,In Front Of Interstate Bus Termina Deen Dayal,,Jabalpur,13-Jan-23,
MA/NAG/CARE01,Ganga Care Hospital Ltd (Unit Of,"3 Farmland, Panchshel Square, Ramdaspeth,",,Nagpur,13-Jan-23,
MA/NAV/GLOB01,Global 5 Health Care,"D-2, Aditi Appt., F-Type, Main Road, Sector - 9,",,Mumbai,13-Jan-23,
MA/MUM/RIDD1867,Riddhi Vinayak Critical Care And,559 1 Riddhi Vinayak Temple Lane Near N L,,Mumbai,13-Jan-23,
MA/NAS/SAYK01,Saykhedkar Hospital & Research,"Kamatwada Road, Trimurti Chowk, Cidco",,Nashik,13-Jan-23,
MA/NAG/CENT106,Central Avenue Criticare Hospital,Mahalaxmi Complex,,Nagpur,13-Jan-23,
MA/NAS/CHOP106,Chopda Medicare And Research,"3/5,Patil Lane No.1,Laxmi Nagar,Near Kbh",,Nashik,13-Jan-23,
